name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset
도미 매운탕,찌개 및 전골류,297.0,47.0,351.0,1.08,3.37,5.9,1.13,1,음식
도미찜,찜류,226.7,52.0,85.0,0.92,3.22,7.9,0.91,1,음식
도미튀김,튀김류,61.8,301.0,1720.0,0.02,18.9,25.9,12.22,1,음식
도시락,즉석식품류,363.0,163.0,300.0,2.71,22.36,6.34,5.0,3138,가공식품
도토리,견과 및 종실류,,345.0,3.0,,79.35,3.85,1.35,4,원재료성식품
도토리 국수,견과 및 종실류,,343.0,517.0,,72.2,12.4,0.7,1,원재료성식품
도토리묵,견과 및 종실류,,206.5,40.5,0.01,49.16,1.01,0.67,2,원재료성식품
도토리묵무침,생채·무침류,100.0,56.0,179.0,0.08,11.77,0.6,0.67,7,음식
도화돔,어패류 및 기타 수산물,,130.0,,0.0,0.0,21.3,4.3,1,원재료성식품
돈가스,튀김류,100.0,291.0,287.5,1.41,15.89,13.77,17.97,10,음식
돌나물,생채·무침류,90.0,42.0,193.0,4.13,8.47,0.96,0.92,3,음식
돌나물무침,생채·무침류,70.0,42.5,188.5,4.35,8.5,1.3,0.78,4,음식
돌솥 비빔밥,밥류,575.0,101.0,93.0,1.05,17.46,3.4,1.78,2,음식
돌솥비빔밥,밥류,550.0,86.0,116.0,1.23,13.99,2.81,2.07,1,음식
돔류,어패류 및 기타 수산물,,102.0,89.0,0.1,0.08,19.96,2.08,54,원재료성식품
동가리류,어패류 및 기타 수산물,,106.0,,0.07,0.07,19.2,2.3,3,원재료성식품
동갈치,어패류 및 기타 수산물,,97.0,,0.42,0.42,19.78,1.3,1,원재료성식품
동부,두류,,166.0,2.0,0.14,29.34,10.02,1.12,5,원재료성식품
동사리,어패류 및 기타 수산물,,81.0,,0.0,0.0,16.9,1.0,1,원재료성식품
동아,채소류,,15.0,1.0,,3.75,0.55,0.1,2,원재료성식품
동자개,어패류 및 기타 수산물,,113.0,48.0,0.0,0.0,17.02,4.0,10,원재료성식품
동죽,어패류 및 기타 수산물,,62.0,174.0,0.9,1.42,11.0,1.03,2,원재료성식품
동충하초,버섯류,,80.0,751.5,0.33,3.54,33.23,1.39,2,원재료성식품
동치미,김치류,150.0,12.5,442.0,1.32,2.18,0.39,0.22,2,음식
동태 매운탕,찌개 및 전골류,610.0,25.0,184.0,0.54,1.98,3.3,0.5,2,음식
동태국,국 및 탕류,298.4,21.0,224.0,0.39,1.4,3.4,0.18,5,음식
동태까스,튀김류,90.0,273.0,385.0,2.61,19.42,11.6,15.64,1,음식
동태양념구이,구이류,75.2,130.0,641.0,0.29,1.59,21.7,3.56,1,음식
동태전,전·적 및 부침류,70.0,195.0,387.0,0.03,6.11,16.48,11.63,5,음식
동태조림,조림류,230.0,110.0,557.0,1.86,4.86,16.32,1.88,3,음식
동태찌개,찌개 및 전골류,221.0,25.0,207.0,0.99,2.61,3.25,0.51,5,음식
동태찜,찜류,366.1,64.5,301.5,1.0,3.96,8.89,1.48,2,음식
동태튀김,튀김류,120.9,146.5,819.0,0.01,8.3,10.7,7.19,2,음식
동파육,찜류,100.0,191.0,299.0,0.74,4.15,8.99,15.41,1,음식
돼지 부산물,육류,,155.5,76.5,0.0,0.0,17.29,6.07,22,원재료성식품
돼지갈비강정,튀김류,88.2,313.0,520.5,3.82,20.55,19.4,15.71,2,음식
돼지갈비구이,구이류,150.0,132.0,215.0,3.35,6.57,9.01,7.85,8,음식
돼지갈비전골,찌개 및 전골류,85.8,227.0,332.0,3.24,5.07,16.6,15.14,1,음식
돼지갈비찜,찜류,250.0,139.0,230.0,2.29,6.28,10.28,7.64,15,음식
돼지감자,감자 및 전분류,,39.0,2.0,6.37,17.16,2.23,0.11,3,원재료성식품
돼지고기,찜류,100.0,164.0,85.0,0.05,1.56,21.2,4.44,3,음식
돼지고기 꼬치구이,구이류,105.0,179.0,119.0,1.7,2.75,26.9,5.86,3,음식
돼지고기 덮밥,밥류,330.0,168.0,141.0,2.03,25.91,8.0,3.12,1,음식
돼지고기 스테이크,구이류,90.0,148.0,487.5,3.29,7.29,17.8,4.73,4,음식
돼지고기 장조림,조림류,55.0,138.0,625.0,2.11,5.97,15.4,5.3,6,음식
돼지고기 피망잡채,볶음류,170.0,93.0,267.0,2.08,5.09,9.6,3.73,2,음식
돼지고기강정,튀김류,119.8,174.0,504.0,1.91,8.38,14.75,8.46,4,음식
돼지고기덮밥,밥류,330.0,165.0,143.0,1.91,26.17,7.92,2.72,1,음식
돼지고기볶음,볶음류,200.0,113.0,263.0,3.12,6.51,9.89,5.1,29,음식
돼지고기볶음(제육볶음),볶음류,250.0,195.0,501.0,0.38,4.73,12.15,14.19,1,음식
돼지고기찌개,찌개 및 전골류,360.0,56.0,204.5,0.66,2.85,4.21,3.14,6,음식
돼지고기찜,찜류,250.0,109.0,220.0,2.09,8.89,10.82,3.25,1,음식
돼지고기튀김,튀김류,73.4,222.0,513.0,0.02,6.24,20.9,11.67,1,음식
돼지기름,유지류,,915.0,17.0,0.0,0.58,0.0,99.38,1,원재료성식품
돼지껍데기구이,구이류,100.0,348.0,475.0,3.42,3.37,23.74,26.64,1,음식
돼지등갈비찜,찜류,450.0,214.0,532.0,5.36,12.76,16.02,10.93,1,음식
돼지등심 장조림,조림류,88.0,114.0,412.0,3.29,5.0,15.7,2.67,2,음식
돼지머리국밥,밥류,870.5,70.0,121.5,0.32,11.79,2.15,1.32,2,음식
돼지불고기,구이류,300.0,86.0,218.0,2.67,5.65,8.88,3.75,13,음식
돼지사태찜,찜류,177.3,96.5,213.5,2.76,7.96,9.2,2.95,4,음식
된장,장류,500.0,165.0,4100.0,8.0,21.4,12.0,4.0,419,가공식품
된장국,국 및 탕류,270.0,17.0,242.0,0.44,2.03,1.33,0.47,43,음식
된장찌개,찌개 및 전골류,258.6,41.0,351.0,0.87,4.32,3.4,1.22,33,음식
두류가공품,농산가공식품류,300.0,220.0,113.0,1.6,15.56,14.0,4.6,1223,가공식품
두릅,채소류,,32.5,2.0,0.55,5.85,3.53,0.27,12,원재료성식품
두릅무침,생채·무침류,87.6,70.5,840.5,4.19,9.74,2.78,2.79,2,음식
두리안,과일류,,140.0,,,27.1,2.3,3.3,1,원재료성식품
두부,두부류 또는 묵류,400.0,85.0,9.0,0.3,3.0,8.0,4.4,1053,가공식품
두부 달걀찜,찜류,125.0,75.0,143.0,0.49,3.05,6.3,4.19,3,음식
두부 달걀탕,국 및 탕류,235.3,37.0,93.0,0.4,1.73,3.7,1.68,3,음식
두부 된장국,국 및 탕류,260.0,25.0,207.0,0.44,1.78,2.3,0.99,7,음식
두부 명란찌개,찌개 및 전골류,170.6,33.0,238.0,0.66,2.72,3.5,1.07,1,음식
두부 애호박찌개,찌개 및 전골류,234.6,27.0,61.0,0.88,3.6,2.0,0.62,1,음식
두부 청국장찌개,찌개 및 전골류,240.0,39.0,220.0,0.76,3.83,3.5,0.95,6,음식
두부 탕수,튀김류,100.4,123.0,192.0,3.26,15.13,4.5,4.82,3,음식
두부국,국 및 탕류,246.9,25.0,199.5,0.26,1.25,2.15,1.23,4,음식
두부김치,볶음류,250.0,108.0,396.0,1.03,5.11,7.79,6.07,5,음식
두부냉채,생채·무침류,150.0,78.0,303.0,1.26,4.41,8.7,2.84,3,음식
두부볶음,볶음류,113.4,197.0,246.0,3.68,13.12,12.4,10.52,2,음식
두부부침,전·적 및 부침류,100.0,149.5,328.0,0.0,4.56,12.46,9.66,6,음식
두부전,전·적 및 부침류,150.0,161.0,211.0,0.02,5.0,10.13,9.83,5,음식
두부전골,찌개 및 전골류,435.0,52.0,219.5,0.57,3.15,4.46,2.49,2,음식
두부조림,조림류,74.8,142.0,464.0,1.73,8.15,11.5,6.87,7,음식
두부찌개,찌개 및 전골류,259.8,48.5,204.0,0.65,3.18,4.29,1.52,10,음식
두부튀김,튀김류,116.1,125.0,270.0,0.86,9.95,6.55,6.36,4,음식
두유,음료류,190.0,53.0,70.0,2.22,5.26,3.0,2.0,745,가공식품
